,State,County,latitude,longitude
17800,KY,Leslie,37.04,-83.4
17805,KY,Bell,36.72,-83.62
17813,KY,Letcher,37.05,-82.79
17833,KY,Perry,36.94,-83.11
17840,KY,Clay,37.16,-83.56
17873,KY,Campbell,38.96,-84.38
17874,KY,Bracken,38.77,-84
17875,KY,Harrison,38.52,-84.38
17877,KY,Boone,39.02,-84.72
17878,KY,Pendleton,38.78,-84.37
17880,KY,Carroll,38.67,-85.16
17881,KY,Grant,38.49,-84.56
17882,KY,Kenton,39.08,-84.5
17894,KY,Mason,38.75,-83.88
17896,KY,Fleming,38.42,-83.82
17904,KY,Gallatin,38.71,-84.82
17917,KY,Robertson,38.53,-84.03
17939,KY,Boyd,38.45,-82.64
17943,KY,Greenup,38.42,-82.81
17944,KY,Lawrence,38.02,-82.85
17945,KY,Carter,38.42,-83.1
17948,KY,Lewis,38.38,-83.26
17955,KY,Elliott,38.06,-83.05
17972,KY,Martin,37.83,-82.43
17973,KY,Johnson,37.83,-82.7
17975,KY,Floyd,37.74,-82.79
18000,KY,Wolfe,37.73,-83.54
18001,KY,Lee,37.55,-83.57
18002,KY,Breathitt,37.64,-83.24
18005,KY,Owsley,37.47,-83.67
18014,KY,Morgan,37.86,-83.37
18030,KY,Magoffin,37.78,-83
18038,KY,Pike,37.47,-82.51
18101,KY,Knott,37.46,-82.8
18185,KY,McCracken,37.07,-88.63
18186,KY,Mccracken,37.07,-88.63
18188,KY,Calloway,36.71,-88.31
18189,KY,Carlisle,36.79,-89.01
18190,KY,Ballard,37.14,-88.94
18193,KY,Marshall,36.85,-88.35
18194,KY,Graves,36.91,-88.61
18195,KY,Livingston,37.21,-88.4
18197,KY,Hickman,36.66,-88.99
18199,KY,Crittenden,37.27,-88.08
18203,KY,Lyon,37.07,-88.07
18206,KY,Fulton,36.51,-88.88
18238,KY,Warren,36.97,-86.44
18242,KY,Allen,36.67,-86.27
18244,KY,Barren,36.81,-86.01
18245,KY,Metcalfe,36.86,-85.63
18251,KY,Monroe,36.72,-85.96
18252,KY,Simpson,36.72,-86.57
18265,KY,Edmonson,37.06,-86.1
18271,KY,Butler,37.25,-86.68
18272,KY,Logan,36.66,-86.85
18273,KY,Todd,36.71,-87.06
18277,KY,Trigg,36.86,-87.82
18279,KY,Christian,36.96,-87.66
18309,KY,Daviess,37.75,-87.11
18313,KY,Ohio,37.4,-86.87
18314,KY,Muhlenberg,37.18,-87.12
18315,KY,McLean,37.53,-87.25
18325,KY,Henderson,37.68,-87.36
18333,KY,Hancock,37.89,-86.75
18356,KY,Webster,37.44,-87.93
18359,KY,Hopkins,37.17,-87.68
18362,KY,Caldwell,37.2,-88.05
18368,KY,Union,37.68,-87.9
18388,KY,Pulaski,37.08,-84.6
18405,KY,Clinton,36.69,-85.13
18407,KY,Russell,36.99,-85.07
18408,KY,McCreary,36.74,-84.48
18409,KY,Wayne,36.84,-84.84
18420,KY,Hart,37.37,-85.9
18421,KY,Adair,36.95,-85.41
18422,KY,Larue,37.51,-85.7
18423,KY,Cumberland,36.79,-85.36
18424,KY,Taylor,37.34,-85.34
18439,KY,Green,37.25,-85.49
18456,OH,Licking,40.08,-82.61
18457,OH,Franklin,40.07,-83.18
18458,OH,Delaware,40.4,-82.95
18460,OH,Knox,40.27,-82.23
18461,OH,Coshocton,40.47,-82.19
18462,OH,Union,40.33,-83.38
18464,OH,Champaign,40.17,-83.64
18465,OH,Clark,39.99,-83.62
18493,OH,Fairfield,39.89,-82.54
18515,OH,Perry,39.89,-82.41
18527,OH,Ross,39.46,-82.74
18529,OH,Pickaway,39.71,-82.95
18531,OH,Fayette,39.6,-83.39
18535,OH,Hocking,39.49,-82.22
18552,OH,Madison,39.88,-83.44
18625,OH,Marion,40.58,-83.12
18629,OH,Logan,40.5,-83.74
18632,OH,Morrow,40.49,-82.89
18633,OH,Wyandot,40.95,-83.38
18643,OH,Hardin,40.64,-83.61
18670,OH,Wood,41.37,-83.64
18673,OH,Sandusky,41.26,-83.25
18674,OH,Ottawa,41.56,-83.36
18676,OH,Lucas,41.63,-83.31
18689,OH,Erie,41.59,-82.71
18714,OH,Williams,41.66,-84.43
18715,OH,Fulton,41.51,-84.3
18719,OH,Henry,41.45,-83.93
18721,OH,Defiance,41.28,-84.36
18803,OH,Muskingum,39.95,-82.01
18805,OH,Noble,39.83,-81.58
18806,OH,Belmont,39.98,-81.17
18807,OH,Monroe,39.84,-81.03
18813,OH,Guernsey,39.93,-81.5
18818,OH,Morgan,39.48,-81.86
18865,OH,Holmes,40.44,-81.7
18874,OH,Tuscarawas,40.27,-81.59
18882,OH,Jefferson,40.21,-80.87
18884,OH,Carroll,40.47,-80.92
18887,OH,Harrison,40.26,-80.99
18897,OH,Columbiana,40.63,-80.56
18943,OH,Lorain,41.4,-82.23
18944,OH,Ashtabula,41.6,-80.56
18950,OH,Cuyahoga,41.36,-81.86
18951,OH,Geauga,41.47,-81.14
18966,OH,Lake,41.74,-81.28
18976,OH,Summit,41.31,-81.49
19070,OH,Portage,41.03,-81.18
19075,OH,Medina,41.24,-81.82
19076,OH,Wayne,40.98,-81.99
19153,OH,Mahoning,41.02,-80.93
19154,OH,Trumbull,41.38,-80.87
19227,OH,Stark,40.91,-81.11
19325,OH,Seneca,41.04,-83.39
19326,OH,Hancock,41.11,-83.51
19327,OH,Ashland,40.86,-82.31
19330,OH,Huron,41.27,-82.84
19331,OH,Richland,40.62,-82.51
19337,OH,Crawford,40.8,-82.97
19396,OH,Hamilton,39.13,-84.71
19398,OH,Preble,39.56,-84.81
19399,OH,Butler,39.52,-84.64
19400,OH,Warren,39.55,-84.3
19438,OH,Brown,38.66,-83.76
19439,OH,Clermont,39.02,-84.21
19441,OH,Adams,38.75,-83.62
19443,OH,Clinton,39.28,-83.97
19444,OH,Highland,39.08,-83.85
19561,OH,Greene,39.67,-83.91
19562,OH,Shelby,40.39,-84.17
19563,OH,Darke,40.21,-84.63
19569,OH,Montgomery,39.83,-84.41
19570,OH,Mercer,40.35,-84.64
19572,OH,Miami,40.05,-84.12
19698,OH,Pike,39.03,-82.82
19699,OH,Gallia,38.94,-82.25
19703,OH,Lawrence,38.43,-82.45
19705,OH,Jackson,39.11,-82.61
19706,OH,Vinton,39.35,-82.5
19710,OH,Scioto,38.6,-82.84
19765,OH,Athens,39.32,-82.09
19768,OH,Washington,39.39,-81.64
19775,OH,Meigs,39.08,-81.92
19817,OH,Allen,40.74,-84.11
19827,OH,Paulding,41.18,-84.73
19829,OH,Putnam,41.15,-83.94
19832,OH,Auglaize,40.62,-84.26
19841,OH,Van Wert,40.91,-84.7
19903,IN,Madison,40.25,-85.67
19912,IN,Hamilton,40.17,-86.02
19917,IN,Clinton,40.19,-86.66
19922,IN,Hancock,39.93,-85.84
19925,IN,Tipton,40.26,-86.18
19931,IN,Boone,40.05,-86.47
19955,IN,Hendricks,39.68,-86.61
19956,IN,Rush,39.65,-85.57
19957,IN,Putnam,39.76,-86.81
19958,IN,Johnson,39.51,-86.16
19959,IN,Marion,39.71,-86.08
19960,IN,Shelby,39.56,-85.91
19961,IN,Morgan,39.54,-86.37
19979,IN,Fayette,39.62,-85.3
19987,IN,Henry,39.79,-85.52
20079,IN,Porter,41.68,-86.97
20081,IN,Lake,41.37,-87.43
20085,IN,Jasper,41.16,-87.26
20096,IN,La Porte,41.4,-86.75
20103,IN,Newton,41.12,-87.45
20111,IN,Starke,41.21,-86.77
20143,IN,Marshall,41.23,-86.24
20144,IN,Kosciusko,41.26,-85.97
20147,IN,Elkhart,41.72,-85.81
20160,IN,St Joseph,41.73,-86.13
20173,IN,St. Joseph,41.66,-86.16
20183,IN,Lagrange,41.67,-85.57
20213,IN,Noble,41.39,-85.41
20214,IN,Huntington,40.85,-85.6
20215,IN,Steuben,41.64,-85
20216,IN,Allen,41.1,-85.3
20217,IN,De Kalb,41.52,-85.06
20220,IN,Adams,40.65,-84.95
20222,IN,Wells,40.74,-85.17
20224,IN,Whitley,41.23,-85.32
20282,IN,Fulton,40.94,-86.26
20323,IN,Howard,40.47,-86.13
20328,IN,Miami,40.6,-85.92
20330,IN,Carroll,40.51,-86.52
20335,IN,Grant,40.57,-85.87
20344,IN,Cass,40.58,-86.19
20351,IN,Wabash,40.67,-85.72
20365,IN,Pulaski,41.15,-86.48
20393,IN,Dearborn,39.06,-84.9
20394,IN,Union,39.56,-84.81
20395,IN,Ripley,39.29,-85.21
20396,IN,Franklin,39.49,-84.83
20397,IN,Switzerland,38.87,-85.07
20419,IN,Ohio,38.95,-84.85
20424,IN,Scott,38.74,-85.81
20425,IN,Clark,38.53,-85.41
20427,IN,Harrison,38.36,-86.06
20428,IN,Washington,38.65,-86.26
20434,IN,Crawford,38.31,-86.61
20437,IN,Floyd,38.31,-85.86
20442,IN,Orange,38.46,-86.27
20480,IN,Bartholomew,39.21,-85.91
20483,IN,Jackson,38.88,-86.04
20484,IN,Jennings,39.12,-85.49
20485,IN,Jefferson,38.86,-85.3
20486,IN,Decatur,39.43,-85.35
20518,IN,Delaware,40.19,-85.39
20527,IN,Wayne,39.74,-84.85
20529,IN,Jay,40.53,-84.96
20535,IN,Blackford,40.37,-85.2
20539,IN,Randolph,40.18,-85.12
20581,IN,Monroe,39.16,-86.52
20589,IN,Lawrence,38.91,-86.59
20591,IN,Greene,39.02,-86.93
20593,IN,Owen,39.24,-86.98
20600,IN,Brown,39.28,-86.3
20617,IN,Martin,38.91,-86.91
20631,IN,Daviess,38.65,-87.17
20632,IN,Knox,38.77,-87.3
20633,IN,Dubois,38.31,-86.69
20634,IN,Perry,38.16,-86.58
20641,IN,Spencer,38.16,-86.98
20667,IN,Pike,38.48,-87.1
20688,IN,Warrick,38.04,-87.27
20691,IN,Posey,38.18,-87.7
20697,IN,Vanderburgh,38.09,-87.57
20708,IN,Gibson,38.2,-87.57
20755,IN,Vigo,39.47,-87.38
20765,IN,Parke,39.75,-87.06
20766,IN,Vermillion,39.65,-87.46
20768,IN,Clay,39.38,-86.99
20772,IN,Sullivan,38.96,-87.4
20813,IN,Tippecanoe,40.41,-86.87
20821,IN,Montgomery,39.98,-87.05
20822,IN,Warren,40.48,-87.51
20823,IN,Fountain,40.28,-87.24
20825,IN,Benton,40.51,-87.38
20827,IN,White,40.6,-86.86
20890,MI,St Clair,42.61,-82.53
20892,MI,Lapeer,42.92,-83.04
